date,ticker,price
2024-01-01,AAPL,150.03810610139436
2024-01-02,AAPL,151.24347891330416
2024-01-03,AAPL,151.80585590520656
2024-01-04,AAPL,153.3123384976964
2024-01-05,AAPL,153.26603310505152
2024-01-06,AAPL,153.53201108090227
2024-01-07,AAPL,155.05998873104295
2024-01-08,AAPL,157.13195522067343
2024-01-09,AAPL,157.0162761876842
2024-01-10,AAPL,159.8632192328677
2024-01-11,AAPL,160.46204035879424
2024-01-12,AAPL,161.0286598569612
2024-01-13,AAPL,162.3420337600197
2024-01-14,AAPL,162.78717742773856
2024-01-15,AAPL,162.37283449509474
2024-01-16,AAPL,163.36277306135545
2024-01-17,AAPL,163.09392370000714
2024-01-18,AAPL,163.33734049437587
2024-01-19,AAPL,162.56881845566483
2024-01-20,AAPL,162.1383039522432
